Artist,Song,Lyrics
Lana Del Ray,Coachella - Woodstock in My Mind,"I was at Coachella leanin' on your shoulder
Watchin' your husband swing in time
I guess I was in it 'cause, baby, for a minute
It was Woodstock in my mind
In the next mornin', they put out the warnin'
Tensions were risin' over country lines
I turned off the music, tried to sit and use it
All of the love that I saw that night


'Cause what about all these children
And what about all their parents?
And what about all their crowns they wear
In hair so long like mine?
And what about all their wishes
Wrapped up like garland roses
Around their little heads?
I said a prayer for a third time


I'd trade it all for a stairway to Heaven (A stairway, stairway to Heaven)
I'd take my time for the climb up to the top of it (A stairway)
I'd trade the fame and the fortune and the legend (Stairway)
I'd give it all away if you give me just one day to ask Him one question
I'd give it all away if you give me just one day to ask Him one question
See Lana Del Rey LiveGet tickets as low as $160You might also like
I was at Coachella leanin' on your shoulder
Watchin' your husband swing and shine
I'd say he was hella cool to win them over
Critics can be so mean sometimes
He was on his knees and I thought he was breakin' 'em down
With his words and his voice divine
Doesn't take a genius to know what you've got goin'
And to not wanna lose it 'cause they lost their minds


What about all these children
And all their children's children?
And why am I even wonderin' that today?
Maybe my contribution could be as small as hoping
That words could turn to birds
And birds would send my thoughts your way


I'd trade it all for a stairway to Heaven (A stairway, stairway to Heaven)
I'd take my time for the climb up to the top of it (A stairway)
I'd trade the fame and the fortune and the legend (Stairway)
I'd give it all away if you give me just one day to ask Him one question
I'd give it all away if you give me just one day to ask Him one question


A stairway, stairway to Heaven
(Na-na, na-na)
A stairway

Got a million things I wanna say
Like, what's it all for? Will it be okay?
(A stairway, stairway to Heaven)
Million things I wanna say
Like, what's it all for?
(A stairway)


Ooh
Ooh (Stairway, stairway to Heaven)
Ooh (Na-na)
Ooh (Stairway)
Oh (Stairway, stairway to Heaven)
Oh (Stairway)"
Lana Del Ray,Swan Song,"Put your white tennis shoes on and follow me
Why work so hard when you could just be free?
You got your money now, you got your legacy
Let's leave the world for the ones who change everything


Nothing could stop
The two of us
Let's just get lost
That's what we want


And I will never sing again
And you won't work another day
I will never sing again
With just one wave, it goes away
It will be our swan song
It will be our swan song
Be our swan song
It will be our swan song


Dive in, dive deep and dive blue, my sweet
Rushing up from the water where the ice meets
And you've been gone so long, you missed everything
The world can change in a day if you go away
See Lana Del Rey LiveGet tickets as low as $160You might also like
But nothing could stop
The two of us
If that's what we want
We could just get lost


And I will never sing again
And you won't work another day
I will never sing again
With just one wave, it goes away
It will be our swan song
It will be our swan song
Be our swan song
It will be our swan song


Do you like
Do you like where you've been and where you're going to?
(Going to)
Say goodnight
Say goodnight to the life and the world you knew
I'm gonna follow you


And I will never sing again
And you won't work another day
And I will never sing again
You won't work another day
It will be our swan song
It will be our swan song
Be our swan song
It will be our swan song

Put your white tennis shoes on and follow me
Put your white tennis shoes on and follow me
Put your white tennis shoes on and follow me
Why you work so hard when you could just be free?"
Lana Del Ray,Black Bathing Suit,"Grenadine quarantine, I like you a lot
It's L.A., ""Hey"" on Zoom, Target parking lot
And if this is the end, I want a boyfriend
Someone to eat ice cream with and watch television
Or walk home from the mall with
'Cause what I really meant is when I'm being honest
I'm tired of this shit


'Cause my body is my temple, my heart is one too
The only thing that still fits me is this black bathing suit
You don't know me any better than they do, baby
My time is run over, so the only time you'll ever see me
Is in your dreams, in my black bathing suit
Lookin' at me lookin' over at you real cute 'cause


He said I was bad, let me show you how bad girls do
'Cause no one does it better
He said I was bad, let me show you how bad girls do
'Cause no one does it better


Swisher Sweet, magazines, promise you it's not
'Cause of you that I'm mean, it's my afterthoughts
And what I never said, why there's a price on my head
It's nothing to do with them, it's my karmic lineage
So I'm not friends with my mother, but I still love my dad
Untraditional lover, can you handle that?
See Lana Del Rey LiveGet tickets as low as $160You might also like
I guess I'm complicated, my life's sorta too
I wish you could see to my soul through this black bathing suit
You don't know me any better than they do, baby
'Cause I sing like an angel, my heart's like one too
The only thing that fits is this black bathing suit
Lookin' at me lookin' over at you real cute 'cause


He said I was bad, let me show you how bad girls do
'Cause no one does it better
He said I was bad, let me show you how bad girls do
'Cause no one does it better
They said I was bad and I'll show them what bad girls do


My black bathing suit
(Oh, let 'em talk about me)
They're just yesterday's news
(They're fucking broke and we're laughin' about them)
Mail me when you get the blues
(We'll have the last laugh about it)
By the way, thanks for the shoes
Your interest really made stacks
Your interest really made stacks
Your interest really made stacks out of it
Your interest really made stacks out of it for me (So thanks for that)
Your interest really made stacks out of it for me (So thanks for that)
Your interest really made stacks out of it for me
So thanks for that"
Lana Del Ray,American,"Play house, put my favorite record on
Get down, get your crystal method on
You were like tall, tan, driving 'round the city
Flirtin' with the girls like, “you're so pretty”
""Springsteen is the King, don't ya think?""
I was like, ""Hell yeah, that guy can sing""
Like ooh-ooh-ooh
Ooh-ooh-ooh


You make me crazy, you make me wild
Just like a baby, spin me 'round like a child
Your skin so golden brown
Be young, be dope, be proud
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh


Drive fast, I can almost taste it now
L.A., I don't even have to fake it now
You were like so sick, everybody said it
You were way ahead of the trend, get, get it
""Elvis is the best, hell yes""
""Honey, put on that party dress""
Like ooh-ooh-ooh
Ooh-ooh-ooh
See Lana Del Rey LiveGet tickets as low as $160You might also like
You make me crazy, you make me wild
Just like a baby, spin me 'round like a child
Your skin so golden brown
Be young, be dope, be proud
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh


Everybody wants to go fast
But they can't compare
I don't really want the rest
Only you can take me there
I don't even know what I'm saying
But I'm praying for you


You make me crazy, you make me wild
Just like a baby, spin me 'round like a child
Your skin so golden brown
Be young, be dope, be proud
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh

Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Like an American
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Like an American"
Lana Del Ray,When the World Was at War We Kept Dancing,"Girls, don't forget your pearls and all of your horses
As you make your way across the pond
Girls, don't forget your curls and all of your corsets
Memorize them in a little song


Shake it up, throw your hands up and get loose
Cut a rug, lean into the fuckin' youth
Choreo, we just want the fuckin' truth
(Told by the fake news)


Is it the end of an era?
Is it the end of America?
Is it the end of an era?
Is it the end of America?
No, it's only the beginnin'
If we hold on to hope
We'll have our happy endin'
When the world was at war before
We just kept dancin'
When the world was at war before
We just kept dancin'


Boys, don't forget your toys and take all of your money
If you find you're in a foreign land
Boys, don't make too much noise and don't try to be funny
Other people may not understand
See Lana Del Rey LiveGet tickets as low as $160You might also like
Shake it up, throw your hands up and get loose
Cut a rug, lean into the fuckin' youth
Choreo, we just want the fuckin' truth
(Told by the fake news)


Is it the end of an era?
Is it the end of America?
Is it the end of an era?
Is it the end of America?
No, it's only the beginnin'
If we hold on to hope
We'll have our happy endin'
When the world was at war before
We just kept dancin'
When the world was at war before
We just kept dancin'


And we'll do it again
Oh my God, I'm dizzy from lovin' you
We'll do it again and again
Oh my God, I'm dizzy from lovin' you
We'll do it again
Dizzy from, dizzy from lovin' you
We'll do it again
In a world at war (Mmm)

Is it the end of an era?
Is it the end of America?
Is it the end of an era?
Is it the end of America?
When the world was at war before
We just kept dancin'
When the world was at war before
We just kept dancin'


And we'll do it again
And we'll do it again"
Lana Del Ray,Be My Daddy,"37 ContributorsBe My Daddy Lyrics
Hmmmmm
What's up
What's up
What's up
What's up
What's up
What's up


Lyin' on the beach in the hot sun (yeah hot)
Yeah, I want you
If you have forgotten how to have fun (c'mon)
Well, I'll show you


You rich and I'm wishin', um
You could be my mister, yum
Delicious to the maximum
Chew you up like bubble gum
You love me, he wants me
I think I want you too


You can be my daddy tonight-night-night
I'm neon phosphorescent
Open like a Christmas present, oh
You can be my daddy tonight-night-night
If you're seeking heaven
Then you wanna come and get it, get it
You can be my daddy tonight-night-night
I'm neon phosphorescent
Open like a Christmas present, oh
You can be my daddy tonight-night-night
If you're seeking heaven
Then you wanna come and get it alright
Be my daddy tonight
See Lana Del Rey LiveGet tickets as low as $160You might also like
I see you shinin' bright with your gold chain on (so bright)
Drinkin' with your crew (yeah)
I give you one look and you know that it's on (it's on)
Yes, you do


He's rich and I'm kissin' him, magical musician, uh
We drivin' through the cinema, taste like sugar cinnamon
Hey baby (wha?)
Come take me (wha?)
I'll go anywhere with you (yeah)


You can be my daddy tonight-night-night
I'm neon phosphorescent
Open like a Christmas present, oh
You can be my daddy tonight-night-night
If you're seeking heaven
Then you wanna come and get it, get it
You can be my daddy tonight-night-night
I'm neon phosphorescent
Open like a Christmas present, oh
You can be my daddy tonight-night-night
If you're seeking heaven
Then you wanna come and get it alright
Be my daddy tonight

What's up
What's up
What's up
What's up
What's up
What's up
What's up
What's up


Sitting on your lap, singing you my song, ooh-ooh-ooh
Got a lollipop
I'll give you some
All for you-you-you-you-you-you


You can be my daddy tonight-night-night
I'm neon phosphorescent
Open like a Christmas present, oh
You can be my daddy tonight-night-night
If you're seeking heaven
Then you wanna come and get it, get it
You can be my daddy tonight-night-night
I'm neon phosphorescent
Open like a Christmas present, oh
You can be my daddy tonight-night-night
If you're seeking heaven
Then you wanna come and get it alright
Be my daddy tonight

What's up
What's up
What's up
What's up
Be my daddy
Be my daddy
Be my daddy
Be my, be my daddy tonight"
Lana Del Ray,Yosemite,"Seasons may change
But we won't change
Isn't it sweet how we know that already?
Winter to spring
Spring back to fall
Isn't it cool how nothing here changes at all?


You make me feel I'm invincible
Just like I wanted
No more candle in the wind
It's not like I'm invisible
Not like before when I was burning at both ends


We did it for fun, we did it for free
I did it for you, you did it for me
We did it for the right reasons
We did it for the right reasons


Seasons may change
But we won't change
Isn't it strange how different we are from all of our friends?
Seasons will turn
The world, it will turn
The only thing we'll turn is the pages of all of the poems we burned
See Lana Del Rey LiveGet tickets as low as $160You might also like
Honey, you made me feel I'm invincible
It's just like I wanted
No more candle in the wind
It's not like I'm invisible
Like I was before, no more burning at both ends


Now I do it for fun, I do it for free
I do it for you, you did it for me
We did it for the right reasons
We did it for the right reasons


I remember watching How Green Was My Valley
Then I was thinking
""How deep was the canyon that you came from?""
Television static was quite overwhelming
Was it because of the cabin and the candles in the wind?


We've done it for fun, we've done it for free
I showed up for you, you showed up for me
We did it for the right reasons
We did it for fun, we did it for free

When I was young 'til eternity
I'll do it for the right reasons
Withstanding all the time, changes, and seasons
Right reasons"
Lana Del Ray,Cherry Blossom,"What you don't tell no one, you can tell me
Little ghost, tall, tan like milk and honey
You're very brave
And very free


I push you high, cherry blossom on your sycamore tree
What you don't tell no one, you can tell me

Swing it high like Jesus, wild and free
Dandelions in your hair, baby
You're very brave
And there's much to see


I push you high, cherry blossom on your sycamore tree
What you don't tell no one, you can tell me


And when you're scared, I'll be right here
You feel afraid, Mommy is there
It's a cruel, cruel world, but we don't care
'Cause what we've got, we've got to share
See Lana Del Rey LiveGet tickets as low as $160You might also like
What you don't tell no one, you can tell me
Little ghost, blonde hair with lemonade tea
There's much to learn
And so much to see


I push you high, Angelina, on your sycamore tree
What you don't tell no one, you can tell me"
Lana Del Ray,TV in Black & White,"28 ContributorsTV in Black & White Lyrics
If you get lonely, think of me only
Prison isn't going to keep me from you
Remember Coney Island and how we
Went into the water, 'til the waves turned blue?
Nobody does have to know that our love's alive
Keep it on the low if you want to hide
Got that same address if you want to write
One Greenwich Avenue, wishing and thinking of you


Living without you's like TV in black and white
You turned me on and brought color into my life
When I'm around you, suddenly, I realize
That I was blind before I saw the world through your eyes


If you get lonely, think of this only
Heaven hasn't forgotten about you
Though you can't hold me, pick up and phone me
Use your one phone call on your ex-girl, boo
I won't tell a single soul how you spend your nights
In that single cell, holding your pillow tight
If you really are afraid, then you ought to know
That you're the one I want, the one I want forever more
See Lana Del Rey LiveGet tickets as low as $160You might also like
Living without you's like TV in black and white
You turned me on and brought color into my life
When I'm around you, suddenly, I realize
That I was blind before I saw the world through your eyes


I know you get scared sometimes, boy
Nothing to be feared when you're in my heart
Troubles come in threes but in your case
They came in millions and trillions, but that's all right


Living without you's like TV in black and white
You turned me on and brought color into my life
When I'm around you, suddenly, I realize
That I was blind before I saw the world through your eyes


Like TV in black and white
Like TV in black and white
Like TV in black and white
Like TV in black and white"
Lana Del Ray,Sweet Carolina,"Okay


Don't have to write me a letter
'Cause I'll always be right here
Closer to you than your next breath, my dear


We love every hair on your head
Love you like God loves you
And you say that you're scared
Might be unprepared for havin' the baby blues


Baby blues, baby blues
If things ever go wrong
Just know this is your song and we love you


You name your babe Lilac Heaven
After your iPhone 11
""Crypto forever,"" scrеams your stupid boyfriend
Fuck you, Kevin


We lovе every freckle you have
We love you like God loves you
If you're ever stressed out, just dance in the night
If you get those baby blues
See Lana Del Rey LiveGet tickets as low as $160You might also like
Baby blues, baby blues
If things ever go wrong
Just know this is your song and we love you


Pink slippers all on the floor, woven nets over the door
It's as close as we'll get to the dream that they had
In the one night sixties, and
Jason is out in the lawn
And he power-washes every time things go wrong
If you're stressed out, just know you can dance to your song
'Cause we got you


If you get the blues, baby blues
Just know this is your song
It'll live on and on, way past me and you
If you get the blues, baby blues
You've got us, we've got you
So there's nothing to lose, and we love you


So don't write me a letter
I'll always be right here
Closer to you than your next breath, my dear"
Lana Del Ray,Is This Happiness,"High up in the Hollywood hills, taking violet pills
Writing all of my songs about my cheap thrills
You're a hard man to love and I'm
A hard woman to keep track of


You like to rage, don't do that
You want your way, you make me so mad
Got your gun, I've got my dad
Hm-hm-hm-hm-hm-hm-hm


Is this happiness?
Is this happiness?
Is this happiness?
Is this happiness?


High up in the Hollywood hills, crushing violet pills
You've been trying to write a novel about your cheap thrills
You think you're Hunter S. Thompson
I think you're fucking crazy as the day's long


Man to man, heart to heart
I love you but you drive me so far
Wish you well on that star
Hm-hm-hm-hm-hm-hm-hm
See Lana Del Rey LiveGet tickets as low as $160You might also like
Is this happiness?
Is this happiness?
Is this happiness?
Is this happiness?


Witch Hazel, Witch Hazel
Betrayal, betrayal
One gun on the table
Headshot if you're able


Is this happiness?
Is this happiness?
Is this happiness?
Is this happiness?


Hm-hm-hm-hm
Hm-hm-hm-hm
Hm-hm-hm-hm
Hm-hm-hm-hm"
Lana Del Ray,Judah Smith Interlude,"Don't you understand what that means?
It means quit lusting after your neighbor
That's a heck of a life
You get to love your children in front of you
You get to love
You ever talk to somebody
""I want a new life""
""I don't love my wife anymore""
""I don't love my kids anymore""
""I'm missing out on life""
They're usually my age
Does that sound like love?
It's a life dominated with lust
And for too long, they've been holding it off
And finally, they just get weak and they say
""It doesn't matter anymore""
And the Spirit of God says
""I'll infuse you with dеsires for what you have
And what's in front of you"" (Yeah, yеah, yeah)
(Desires for what you have)
So, as He works deep in your heart
As you call out to Him and say
""I'm here, do it in me, Man""
""Help me want what I got""
""Help me love what's in front of me""
""Help me want more of my wife and more of my friends""
""And help me serve the city I live in and not wish it away and hope I can move""
""Help me, God""
""I wanna be a man of love, not a man of lust""
But you've gotta do that
So I bring you to this verse and I'm done, I'm done
Psalms, chapter eight
And you know where I got this verse?
This is gonna sound crazy to you, but I'm gonna tell you the absolute truth
It's gonna make me sound so spiritual, so I'm looking forward to it
I woke up this morning and God said, ""Check the Bible app""
I don't know if it was God, but it felt like God
And I had the thought in my head, “Check the Bible app”
I'm gonna speak to you from the verse of the day
That means I don't have to do anything
I don't have to look anywhere, I just get the verse of the day
So I get to the verse of the day
And here's the verse of the day, today, in the Bible app
Look at this (That's cool)
""Look at the splendor of the skies
Your creative genius glowing in the heavens
When I gaze, when I gaze at Your moon and Your stars
Mounted like jewels in their settings
I know You are the fascinating artist who fashioned it all""
When I look up and I see such wonder and workmanship above
""I have to ask this question""
""I've gotta ask this question""
Compared to all this cosmic glory
""Why would you ever bother with puny, mortal man?"" or be
Ooh, don't get me started on it
I could preach for another hour on infatuated
Or be infatuated with Adam's son
""Why are you so infatuated with me?""
You're the star creator, You're the ocean maker (Yeah, yeah)
You're the whale creator, you're the rhino designer
Who, who are you? (Rhino designer)
And then it goes on in verse five
And it says
""Yet, what honor You have given to me
Created only a little lower than Elohim""
Which is the name of Creator God, Artist God
You wanna call God ""Artist""?
At some point tonight, before you go to bed, go, ""Yo, Elohim""
And He'll hear, ""You're the best Artist ever""
""The little Elohim, crowned like kings and queens with glory and magnificence
You have delighted, You have delegated to them
Mastery over all You have made""
You have made me a partner with You
I used to think my preaching was mostly about You
And you're not gonna like this, but I'm gonna tell you the truth
I've discovered my preaching is mostly about meSee Lana Del Rey LiveGet tickets as low as $160You might also like"
Lana Del Ray,Bel Air,"Gargoyles standing at the front of your gate
Trying to tell me to wait, but I can't wait to see you
So I run like I'm mad to heaven's door
I don't wanna be bad, I won't cheat you no more


Roses, Bel Air, take me there
I've been waiting to meet you
Palm trees in the light, I can see, late at night
Darling, I'm waiting to greet you
Come to me, baby


Spotlight, bad baby, you've got a flair
For the violentest kind of love anywhere out there
Mon amour, sweet child of mine, you're divine
Didn't anyone ever tell you it's okay to shine?


Roses, Bel Air, take me there
I've been waiting to meet you
Palm trees in the light, I can see, late at night
Darling, I'm waiting to greet you
Come to me, baby
See Lana Del Rey LiveGet tickets as low as $160You might also like
Don't be afraid of me
Don't be ashamed
Walk in the way of my soft resurrection
Idol of roses, iconic soul
I know your name
Lead me to war with your brilliant direction


Roses, Bel Air, take me there
I've been waiting to meet you
Palm trees in the light, I can see, late at night
Darling, I'm waiting to greet you
Come to me, baby


Roses, Bel Air, take me there
I've been waiting to meet you
Grenadine, sunshine—can you break this heart of mine?
Darling, I'm waiting to greet you
Come to me, baby"
Lana Del Ray,Wild at Heart,"What would you do if I told you
You made me crazy
To see your pretty pics on Sunset Boulevard?
And it makes me lazy
So I smoke cigarettes
Just to understand the smog


I love you lots like polka dots
You're killing me more
Than coffee pots and insta-dots
With every drop I pour
And if I had to do it all again
I would because, babe, in the end
It brought me here to you


I left Calabasas, escaped all the ashes, ran into the dark
And it made me wild, wild, wild at heart
The cameras have flashes, they cause the car crashes
But I'm not a star
If you love me, you'll love me
'Cause I'm wild, wild at heart
If they love me, they'll love me
'Cause I'm wild, wild at heart
See Lana Del Rey LiveGet tickets as low as $160You might also like
What would you do if I wouldn't sing for them no more?
Like if you heard I was out in the bars drinkin' Jack and Coke
Going crazy for anyone who would listen to my stories, babe
Time after time, I think about leaving
But you know that I never do just 'cause you keep me believin'


I love you lots, despite the odds
You're killing me, Joe
And all these thoughts brought us apart
And that's okay, too
'Cause even in the worst of times
You saw the best of me
And that's why I stay here with you


I left Calabasas, escaped all the ashes, ran into the dark
And it made me wild, wild, wild at heart
The cameras have flashes, they cause the car crashes
But I'm not a star
If you love me, you'll love me
'Cause I'm wild, wild at heart
If you love me, you'll love me
'Cause I'm wild, wild at heart

'Cause, baby, I'm wild at heart
If you love me, you'll love me
'Cause I'm wild at heart
Baby, I'm wild, wild at heart
If they love me, they'll love me
'Cause I'm wild, wild at heart
If they love me, they'll love me
'Cause I'm wild, wild at heart"
Lana Del Ray,Go Go Dancer,"41 ContributorsGo Go Dancer Lyrics
I drop it like it's hot on the pole, on the pole
Shining in the club, neon gold, neon gold
They call me ""Firecracker"" and alcohol's a factor
I drop it like it's hot, baby bold, baby bold
A little bit of fun for your soul, for your soul
They call me ""Firecracker"", 'cause ain't nobody faster


I'm your go-go dancer, midnight answer
Jukebox sweetheart, queen of the night
Vegas baby, if you pay me
Anything you like, anything you like
Go-go dancer, midnight answer
Jukebox sweetheart, Queen of the night
Vegas baby, if you pay me
Anything you like
Go-go-g-go-go dancer tonight


Pushing up my (uh), in your face, in your face
Keep your fingertips on my waist, on my waist
I'm your go-go dancer, credit card romancer
Corner of the road with the lights and the lace
Catch me after twelve, in the place, yeah, the place
Boy, break out your dollars, baby needs a new fur
See Lana Del Rey LiveGet tickets as low as $160You might also like
I'm your go-go dancer, midnight answer
Jukebox sweetheart, queen of the night
Vegas baby, if you pay me
Anything you like, anything you like
Go-go dancer, midnight answer
Jukebox sweetheart, Queen of the night
Vegas baby, if you pay me
Anything you like
Go-go-g-go-go dancer tonight


I'm the girl next door, let me come in
I know I go-go dance but I do it for kicks
I never have to work 'cause my daddy is rich
I'm partyin' all night, shinin' in the lights
Is it a crime to wanna shine
In my white go-go boots and my silver design?
I know it makes you wild
I know it makes you wild


I'm your go-go dancer, midnight answer
Jukebox sweetheart, queen of the night
Vegas baby, if you pay me
Anything you like, anything you like
Go-go dancer, midnight answer
Jukebox sweetheart, Queen of the night
Vegas baby, if you pay me
Anything you like
Go-go-g-go-go dancer tonight"
Lana Del Ray,Jealous Girl,"47 ContributorsJealous Girl Lyrics
You say you want your own life, well I do, too
You wanna lead me on?
Oh, well I'll show you
Come on girls, march it out
Show him what you're all about
Whoopin', burn the house down, show him who's the leader
Bring ya baby down, down
Go cheerleaders!


Baby, I'm a gangster too and it takes two to tango
You don't wanna dance with me, dance with me
Honey, I'm in love with you, if you don't feel the same
Boy, you don't wanna mess with me, mess with me


Why, cause I'm a jealous, jealous, jealous girl
If I can't have you baby, if I can't have you baby
Jealous, jealous, jealous girl
If I can't have you baby, no one else in this world can
(Bring ya baby down down, go cheerleader!)


You say you got your own life, good for you
You got more important things to do
Come on girls, say it loud, tell him that it's over now
Whoop! You're not off the hook, ya deceiver
I know whatcha done, done, sing cheerleader
See Lana Del Rey LiveGet tickets as low as $160You might also like
Baby, I'm a gangster too and it takes two to tango
You don't wanna dance with me, dance with me
Honey, I'm in love with you, if you don't feel the same
Boy, you don't wanna mess with me, mess with me


Why, cause I'm a jealous, jealous, jealous girl
If I can't have you baby, if I can't have you baby
Jealous, jealous, jealous girl
If I can't have you baby, no one else in this world can
(Bring ya baby down down, go cheerleader!)


Be aggressive, B-E aggressive
I said, be aggressive, B-E aggressive
B-E A-G-G-R-E-S-S-I-V-E
Whoopin' the house down, show him who's the leader
Bring ya' baby down, down, go cheerleader!
(If I can't have you, baby)
You should be my man
(If I can't have you, baby)
No one's better than I am
(If I can't have you, baby)
C'mon give it to me, bam
If I can't have you baby, no one else in this world can

Baby, I'm a gangster too and it takes two to tango
You don't wanna dance with me, dance with me
Honey, I'm in love with you, if you don't feel the same
Boy, you don't wanna mess with me, mess with me


Why, cause I'm a jealous, jealous, jealous girl
If I can't have you baby, if I can't have you baby
Jealous, jealous, jealous girl
If I can't have you baby, no one else in this world can
Jealous, jealous, jealous girl
If I can't have you baby, if I can't have you baby
Jealous, jealous, jealous girl
If I can't have you baby, no one else in this world can"
Lana Del Ray,Violets for Roses,"There's something in the air
The girls are runnin' 'round in summer dresses
With their masks off and it makes me so happy
Larchmont Village smells like lilies of the valley
And the bookstore doors are opening
And it's finally happening


Ever since I fell out of love with you, I fell back in love with me
And, boy, does it feel sweet
Like a summer breeze
Ever since I fell out of love with you, I fell back in love with the city
Like thе Paramount sign sparkling
Sparkling just for me


You made me tradе my violets for roses
You tried to trade in my new truck for Rollses
Don't forget all of these things that you love are the same things I hate
A simple life, I chose this
You made me trade my violets for roses
You tried to take all the pink off my toes, and
God knows the only mistake that a man can make
Is tryna make a woman change and trade her violets for roses
See Lana Del Rey LiveGet tickets as low as $160You might also like
Ah-la-ha, ah-ha
Trade her violets for roses
Ah-la-ha, ah-ha


There's something in the air
I hope it doesn't change, that it's for real
The beginning of something big happening
And by the mayor, the rallies
In the streets have ceased
And still, the shadows haunt the avenue
The silence is deafening


Ever since I fell out of love with you, I fell back in love with the streets
And, God, does it feel sweet
Like a summer breeze
Ever since I fell out of love with you, I breakdance to the backbeat
And, God, does it sound sweet
Like it's playing just for me


You made me trade my violets for roses
You tried to trade in my new truck for Rollses
Don't forget all of these things that you love are the same things I hate
A simple life, I chose this
You made me trade my violets for roses
You tried to take all the pink off my toes, and
God knows the only mistake that a man can make
Is tryin' to make a woman change and trade her violets for roses

Ah-la-ha, ah-ha
Trade her violets for roses
Ah-la-ha, ah-ha
Trade her violets for roses
(Ah-la-ha, ah-ha)


There's something in the air
The girls are runnin' 'round in summer dresses
With their masks off and it makes me so happy"
Lana Del Ray,Dark But Just a Game,"""It's dark, but just a game""
That's what he would say to me
The faces aren't the same, but their stories all end tragically
(Sweet or whatever, baby)
And that's the price of fame
A tale as old as time you'd be (Sweet or whatever, baby)
A pretty little fool to think exceptions to the rule
Just walk around like you and me, this way
But life is sweet or whatever, baby
You gotta take them for what they got
And while the whole world is crazy
We're getting high in the parking lot


Wе keep changing all the time
The bеst ones lost their minds
So I'm not gonna change
I'll stay the same
No rose left on the vines
Don't even want what's mine
Much less the fame
It's dark, but just a game
It's dark, but just a game


It's dark, but just a game
So play it like a symphony
You know our love's the same, they'll both go down in infamy
I was a pretty little thing and God, I loved to sing
But nothing came from either one but pain (But fuck it)
Life is sweet or whatever, baby
Don't ever think it's not
While the whole world is crazy
We're making out in the parking lot
See Lana Del Rey LiveGet tickets as low as $160You might also like
We keep changing all the time
The best ones lost their minds
So I'm not gonna change
I'll stay the same
No rose left on the vines
Don't even want what's mine
Much less the fame
It's dark, but just a game
We keep changing all the time
The best ones lost their minds
So I'm not gonna change
I'll stay the same
No rose left on the vines
Don't even want what's mine
Much less the fame
It's dark, but just a game
It's dark, but just a game
It's dark, but just—"
Lana Del Ray,24,"There's only twenty-four hours in a day
And half as many ways for you to lie to me, my little love
There's only twenty-four hours in a day
And half of those, you lay awake
With thoughts of murder and carnage


If you lie down with dogs, then you'll get fleas
Be careful of the company you keep


There's only twenty-four hours
And that's not enough
To lie like you lie
Or love like you love


Hmm, hmm
Hmm, hmm


There's only twenty-four hours in a day
And half of those you lay
Between the sheets with me, my lying love
There's only twenty-four hours, so you'd say
For most of them you pay
For all the things they paid you for, my love
See Lana Del Rey LiveGet tickets as low as $160You might also like
If you lie down with dogs, then you'll get fleas
Be careful of the ones you choose to leave


There's only twenty-four hours
And that's not enough
To lie like you lie
Or love like you love


Hmm, hmm
Hmm, hmm


Give me your heat
Give me your diamonds
You hit that street
And my crooked words
You count to three
While they're all dying
You're hard to reach
You're cold to touch


La-da-da-da-da-da
La-da-da-da-da-da
La-da-da-di-da-da-da"
Lana Del Ray,God Bless America - and All the Beautiful Women in It,"Take me as I am, take me, baby, in stride
Only you can save me tonight
There's nowhere to run, nowhere to hide
You let me in, don't leave me out or leave me dry


Even when I'm alone, I'm not lonely
I hear the sweetest melodies (Sweetest melodies)
On the fire escapes of the city
Sounds like I am free (It's got me singin')


God bless America and all the beautiful women in it
God bless America and all the beautiful women in it
May you stand proud and strong like Lady Liberty shinin' all night long
God bless America


Take me as I am, don't see me for what I'm not
Only you can hear me tonight
Keep your light on, babe, I might be standin' outside
You let me in, don't leave me out or leave me dry


Even walkin' alone, I'm not worried
I feel your arms all around me (Arms around me)
In the air on the streets of the city
Feels like I am free (It's got me thinkin')
See Lana Del Rey LiveGet tickets as low as $160You might also like
God bless America and all the beautiful women in it
God bless America and all the beautiful women in it
May you stand proud and strong like Lady Liberty shinin' all night long
God bless America


(Sweetest melodies)
Even when you walk that walk with the lights on
You better believe it, nobody can make me feel lonely
Because I hear (Sweetest melodies)
Even when you talk that talk with the lights on
I still, somehow, know that I'll never feel, ever feel lonely
I have no fear (It's got me thinkin', yeah)


God bless America and all the beautiful women in it
(Even when you talk that talk with the lights on)
(I still, somehow, know, yeah, I know that I'll never feel lonely)
(I have no fear)
God bless America and all the beautiful people in it
(Even when you walk that walk with the lights on)
(I still, somehow, know, yeah, I know that I'll never feel lonely)
(I have no fear)
May they stand proud and strong like Lady Liberty shinin' all night long
God bless America and all the beautiful people in it
And all the beautiful people in it"
